time,Strategy 1,Strategy 2,Strategy 3
0,523,197,180
1,523,197,180
2,518,193,189
3,511,192,197
4,510,190,200
5,503,185,212
6,497,179,224
7,492,179,229
8,487,176,237
9,477,175,248
10,470,174,256
11,463,171,266
12,453,169,278
13,444,169,287
14,430,166,304
15,422,164,314
16,410,164,326
17,398,162,340
18,390,157,353
19,380,154,366
20,370,153,377
21,364,152,384
22,349,150,401
23,338,147,415
24,329,146,425
25,319,144,437
26,312,140,448
27,302,139,459
28,292,138,470
29,274,137,489
30,266,136,498
31,254,134,512
32,243,134,523
33,234,134,532
34,222,133,545
35,214,132,554
36,209,132,559
37,195,132,573
38,189,131,580
39,180,129,591
40,174,129,597
41,168,127,605
42,161,125,614
43,155,125,620
44,147,123,630
45,141,122,637
46,132,122,646
47,122,120,658
48,118,120,662
49,116,118,666
50,110,116,674
51,104,114,682
52,101,110,689
53,96,107,697
54,93,105,702
55,87,102,711
56,83,100,717
57,75,98,727
58,74,96,730
59,70,94,736
60,68,93,739
61,66,92,742
62,65,90,745
63,62,88,750
64,61,87,752
65,58,84,758
66,54,82,764
67,54,80,766
68,50,78,772
69,47,78,775
70,46,78,776
71,44,77,779
72,42,72,786
73,40,71,789
74,37,69,794
75,34,66,800
76,33,64,803
77,32,64,804
78,32,63,805
79,31,63,806
80,29,62,809
81,27,61,812
82,26,59,815
83,26,57,817
84,23,57,820
85,20,55,825
86,20,54,826
87,18,50,832
88,17,49,834
89,17,47,836
90,16,45,839
91,16,43,841
92,16,41,843
93,11,40,849
94,7,37,856
95,7,37,856
96,6,34,860
97,4,33,863
98,3,33,864
99,2,32,866
100,2,29,869
101,2,29,869
102,2,27,871
103,2,26,872
104,2,25,873
105,2,25,873
106,1,24,875
107,1,24,875
108,1,23,876
109,1,23,876
110,1,23,876
111,0,23,877
112,0,21,879
113,0,20,880
114,0,19,881
115,0,17,883
116,0,15,885
117,0,15,885
118,0,14,886
119,0,14,886
120,0,13,887
121,0,13,887
122,0,11,889
123,0,11,889
124,0,11,889
125,0,10,890
126,0,10,890
127,0,9,891
128,0,8,892
129,0,7,893
130,0,7,893
131,0,6,894
132,0,6,894
133,0,5,895
134,0,4,896
135,0,4,896
136,0,4,896
137,0,3,897
138,0,3,897
139,0,3,897
140,0,3,897
141,0,3,897
142,0,3,897
143,0,3,897
144,0,1,899
145,0,1,899
146,0,1,899
147,0,1,899
148,0,1,899
149,0,1,899
150,0,1,899
151,0,1,899
152,0,1,899
153,0,1,899
154,0,1,899
155,0,1,899
156,0,1,899
157,0,1,899
158,0,1,899
159,0,1,899
160,0,1,899
161,0,1,899
162,0,1,899
163,0,1,899
164,0,1,899
165,0,1,899
166,0,1,899
167,0,1,899
168,0,1,899
169,0,1,899
170,0,1,899
171,0,1,899
172,0,1,899
173,0,1,899
174,0,1,899
175,0,1,899
176,0,1,899
177,0,1,899
178,0,1,899
179,0,1,899
180,0,1,899
181,0,1,899
182,0,1,899
183,0,1,899
184,0,1,899
185,0,1,899
186,0,1,899
187,0,1,899
188,0,1,899
189,0,1,899
190,0,1,899
191,0,0,900
192,0,0,900
193,0,0,900
194,0,0,900
195,0,0,900
196,0,0,900
197,0,0,900
198,0,0,900
199,0,0,900
200,0,0,900
201,0,0,900
